model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.8101136247312929,0.5704286964129484,0.8366124893071001,0.6783422923530432,0.9052262278603298
TensorFlow Dense Neural Network,0.8593510082915344,0.7555673382820784,0.6094952951240377,0.6747159090909091,0.9135945768075132
