k,inertia,silhouette_score
2,509546.948652573,0.7727260996701144
3,432603.1895458883,0.23844882222937183
4,397304.69738991914,0.1269572858499841
5,353789.79127091414,0.1421836044481138
6,331804.1575731522,0.13453635673352612
7,316870.4927091859,0.14139822442003752
