metric,mean,std
accuracy,0.8095615511047727,0.0031141199203592136
precision,0.5682501886696147,0.004871818154226457
recall,0.8500365948217897,0.005597522217550978
f1,0.6811331149787708,0.004069920111383893
roc_auc,0.9065240372129951,0.0017983490276643967
