k,inertia,silhouette_score
2,449012.32889815426,0.10774019140782118
3,403634.4347963879,0.12533690819349383
4,374531.29848981695,0.12140971426694813
5,356821.3460777867,0.11680130410738397
6,314014.1614182035,0.12798696506681004
7,298411.26504176884,0.12534569873095733
8,288287.05112658686,0.1230333941002434
